RXCUI,TenThuoc
4508,flutamide
4511,folic acid
4530,formaldehyde
4537,formic acid
4550,fosfomycin
4570,fructose
4601,furazolidone
4603,furosemide
4626,galactose
4637,galantamine
4678,ganciclovir
4716,gelatin
4719,gemfibrozil
4778,gentian violet
4815,glyburide
4821,glipizide
4832,glucagon
4845,glucosamine
4850,glucose
4885,glutamine
4888,glutaral
4890,glutathione
4910,glycerin
4917,nitroglycerin
4919,glycine
4952,thyrotropin alfa
4967,glyoxal
4986,chorionic gonadotropin
5011,gramicidin
5021,griseofulvin
5031,guaiacol
5032,guaifenesin
5033,guanabenz
5084,halcinonide
5093,haloperidol
5140,helium
5175,hemin
5224,heparin
5281,hesperidin
5293,hexachlorophene
5321,hexylresorcinol
5333,histamine
5340,histidine
5464,hyaluronidase
5470,hydralazine
5486,hydrochloric acid
5487,hydrochlorothiazide
5489,hydrocodone
5492,hydrocortisone
5496,hydrofluoric acid
5499,hydrogen peroxide
5509,hydroquinone
5514,hydroxocobalamin
5521,hydroxychloroquine
5531,hetastarch
5552,hydroxyurea
5553,hydroxyzine
5640,ibuprofen
5645,ichthammol
5650,idarubicin
5653,idoxuridine
5657,ifosfamide
5666,immunoglobulin G
5690,imipenem
5691,imipramine
5764,indapamide
5775,indocyanine green
5781,indomethacin
5833,inositol
5882,interferon gamma-1b
5920,intrinsic factor
5924,inulin
5933,iodine
5956,iohexol
5966,iopamidol
5992,iron-dextran complex
6011,isocarboxazid
6026,isoflurane
6033,isoleucine
6038,isoniazid
6054,isoproterenol
6057,isosorbide
6058,isosorbide dinitrate
6064,isotretinoin
6066,isoxsuprine
6069,ivermectin
6085,Juniperus communis whole extract
6086,juniper tar
6099,kanamycin
6102,kaolin
6130,ketamine
6135,ketoconazole
6142,ketoprofen
6146,ketotifen
6185,labetalol
6205,Lactobacillus acidophilus
6211,lactose
6218,lactulose
6227,lanolin
6308,leucine
6313,leucovorin
6371,levamisole
6373,levonorgestrel
6375,levodopa
6378,levorphanol
6379,levulinic acid
6383,luteinizing hormone
6387,lidocaine
6398,lincomycin
6404,linseed oil
6406,lipase
6448,lithium
6459,liver extract
6466,lomustine
6468,loperamide
6470,lorazepam
6472,lovastatin
6475,loxapine
6536,lysine
6572,mafenide
6574,magnesium
6579,magnesium chloride
6581,magnesium hydroxide
6582,magnesium oxide
6585,magnesium sulfate
6606,malathion
6623,manganese
6628,mannitol
6633,mannose
6672,mebendazole
6673,mecamylamine
6674,mechlorethamine
6676,meclizine
6678,meclofenamic acid
6691,medroxyprogesterone
6694,mefloquine
6703,megestrol
6704,meglumine
6711,melatonin
6718,melphalan
6719,memantine
6750,menthol
6754,meperidine
6759,mepivacaine
6760,meprobamate
6762,merbromin
6765,tiopronin
6809,metformin
6813,methadone
6816,methamphetamine
6826,methazolamide
6832,methenamine
6835,methimazole
6837,methionine
6845,methocarbamol
6847,methohexital
6851,methotrexate
6854,methoxsalen
6873,methylcellulose
6876,methyldopa
6878,methylene blue
6883,methylergonovine
6901,methylphenidate
6902,methylprednisolone
6904,methyltestosterone
6915,metoclopramide
6916,metolazone
6918,metoprolol
6922,metronidazole
6923,metyrapone
6926,mexiletine
6932,miconazole
6960,midazolam
6963,midodrine
6964,mifepristone
6972,mineral oil
6980,minocycline
6984,minoxidil
7004,mitotane
7005,mitoxantrone
7019,molindone
7024,molybdenum
7052,morphine
7145,mycophenolic acid
7213,ipratropium
7226,nadolol
7233,nafcillin
7238,nalbuphine
7242,naloxone
7243,naltrexone
7247,naphazoline
7258,naproxen
7268,natamycin
7299,neomycin
7315,neostigmine
7393,niacin
7396,nicardipine
7405,niacinamide
7407,nicotine
7417,nifedipine
7421,nifurtimox
7426,nimodipine
7435,nisoldipine
